CP_FILE_NAME: all2all_8
HOST: nico3
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NODE_NUM: 1
NTASK_PER_NODE: 8
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,0]]
MIXED_P2P_NUM: 6561
10202000: time 0.722331 s, REAL_BD 13.844069 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20202000: time 0.460174 s, REAL_BD 21.730910 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01202000: time 0.932890 s, REAL_BD 10.719377 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11202000: time 1.755187 s, REAL_BD 5.697399 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21202000: time 0.970385 s, REAL_BD 10.305188 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02202000: time 0.471700 s, REAL_BD 21.199915 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12202000: time 0.705664 s, REAL_BD 14.171050 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22202000: time 0.460319 s, REAL_BD 21.724065 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00012000: time 1.441518 s, REAL_BD 6.937132 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10012000: time 1.436130 s, REAL_BD 6.963158 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20012000: time 1.436665 s, REAL_BD 6.960565 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01012000: time 2.332301 s, REAL_BD 4.287611 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11012000: time 2.322664 s, REAL_BD 4.305401 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21012000: time 2.339383 s, REAL_BD 4.274631 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02012000: time 1.806023 s, REAL_BD 5.537028 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12012000: time 1.807461 s, REAL_BD 5.532623 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22012000: time 1.806112 s, REAL_BD 5.536755 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00112000: time 1.716147 s, REAL_BD 5.827007 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10112000: time 1.713646 s, REAL_BD 5.835511 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20112000: time 1.715864 s, REAL_BD 5.827968 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01112000: time 2.108086 s, REAL_BD 4.743639 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11112000: time 2.059119 s, REAL_BD 4.856446 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21112000: time 2.115042 s, REAL_BD 4.728038 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02112000: time 1.410068 s, REAL_BD 7.091857 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12112000: time 1.413566 s, REAL_BD 7.074307 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22112000: time 1.418343 s, REAL_BD 7.050481 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00212000: time 1.216401 s, REAL_BD 8.220973 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10212000: time 1.217005 s, REAL_BD 8.216893 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20212000: time 1.217242 s, REAL_BD 8.215293 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01212000: time 1.108029 s, REAL_BD 9.025035 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11212000: time 1.753091 s, REAL_BD 5.704210 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21212000: time 1.117199 s, REAL_BD 8.950957 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02212000: time 1.260448 s, REAL_BD 7.933687 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12212000: time 1.264731 s, REAL_BD 7.906820 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22212000: time 1.271560 s, REAL_BD 7.864356 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00022000: time 0.465582 s, REAL_BD 21.478494 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10022000: time 0.550282 s, REAL_BD 18.172501 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20022000: time 0.461685 s, REAL_BD 21.659790 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
