HOST: g3017
CP_FILE_NAME: small
HOST: g3017
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NNODES: 1
NTASK_PER_NODE: 8
COMM_MODULE: raw-nccl
+ srun -p rag -N 1 --ntasks-per-node 8 --gres=gpu:8 --mem 256G -K -w g3017 -c 16 ./scripts/executor.sh python conflict_bench.py --backend NCCL --config ./scripts/configs/small_8.json --comm-module raw-nccl
NCCL version 2.18.6+cuda11.8
[INFO]: Cluster init done !!!
[[0, 1]]
NCCL version 2.21.5+cuda11.8
SIZE 49152, REAL_BD 10.509 GB/s, BD/PAIR 2.627 GB/s, time 0.0019 s, comm_vol 19.661 MB
SIZE 57344, REAL_BD 12.102 GB/s, BD/PAIR 3.025 GB/s, time 0.0019 s, comm_vol 22.938 MB
SIZE 65536, REAL_BD 13.713 GB/s, BD/PAIR 3.428 GB/s, time 0.0019 s, comm_vol 26.214 MB
SIZE 81920, REAL_BD 16.816 GB/s, BD/PAIR 4.204 GB/s, time 0.0019 s, comm_vol 32.768 MB
SIZE 98304, REAL_BD 19.497 GB/s, BD/PAIR 4.874 GB/s, time 0.002 s, comm_vol 39.322 MB
SIZE 114688, REAL_BD 22.0 GB/s, BD/PAIR 5.5 GB/s, time 0.0021 s, comm_vol 45.875 MB
SIZE 131072, REAL_BD 24.831 GB/s, BD/PAIR 6.208 GB/s, time 0.0021 s, comm_vol 52.429 MB
SIZE 163840, REAL_BD 31.929 GB/s, BD/PAIR 7.982 GB/s, time 0.0021 s, comm_vol 65.536 MB
SIZE 196608, REAL_BD 37.301 GB/s, BD/PAIR 9.325 GB/s, time 0.0021 s, comm_vol 78.643 MB
SIZE 229376, REAL_BD 45.041 GB/s, BD/PAIR 11.26 GB/s, time 0.002 s, comm_vol 91.75 MB
SIZE 262144, REAL_BD 49.461 GB/s, BD/PAIR 12.365 GB/s, time 0.0021 s, comm_vol 104.858 MB
SIZE 327680, REAL_BD 61.2 GB/s, BD/PAIR 15.3 GB/s, time 0.0021 s, comm_vol 131.072 MB
SIZE 393216, REAL_BD 72.848 GB/s, BD/PAIR 18.212 GB/s, time 0.0022 s, comm_vol 157.286 MB
SIZE 458752, REAL_BD 83.795 GB/s, BD/PAIR 20.949 GB/s, time 0.0022 s, comm_vol 183.501 MB
SIZE 524288, REAL_BD 96.417 GB/s, BD/PAIR 24.104 GB/s, time 0.0022 s, comm_vol 209.715 MB
SIZE 655360, REAL_BD 115.836 GB/s, BD/PAIR 28.959 GB/s, time 0.0023 s, comm_vol 262.144 MB
SIZE 786432, REAL_BD 136.176 GB/s, BD/PAIR 34.044 GB/s, time 0.0023 s, comm_vol 314.573 MB
SIZE 917504, REAL_BD 158.66 GB/s, BD/PAIR 39.665 GB/s, time 0.0023 s, comm_vol 367.002 MB
SIZE 1048576, REAL_BD 179.238 GB/s, BD/PAIR 44.809 GB/s, time 0.0023 s, comm_vol 419.43 MB
SIZE 1310720, REAL_BD 208.814 GB/s, BD/PAIR 52.204 GB/s, time 0.0025 s, comm_vol 524.288 MB
SIZE 1572864, REAL_BD 233.504 GB/s, BD/PAIR 58.376 GB/s, time 0.0027 s, comm_vol 629.146 MB
SIZE 1835008, REAL_BD 270.388 GB/s, BD/PAIR 67.597 GB/s, time 0.0027 s, comm_vol 734.003 MB
SIZE 2097152, REAL_BD 299.62 GB/s, BD/PAIR 74.905 GB/s, time 0.0028 s, comm_vol 838.861 MB
SIZE 2621440, REAL_BD 347.782 GB/s, BD/PAIR 86.945 GB/s, time 0.003 s, comm_vol 1.049 GB
SIZE 3145728, REAL_BD 392.946 GB/s, BD/PAIR 98.236 GB/s, time 0.0032 s, comm_vol 1.258 GB
SIZE 3670016, REAL_BD 428.6 GB/s, BD/PAIR 107.15 GB/s, time 0.0034 s, comm_vol 1.468 GB
SIZE 4194304, REAL_BD 450.62 GB/s, BD/PAIR 112.655 GB/s, time 0.0037 s, comm_vol 1.678 GB
SIZE 5242880, REAL_BD 491.814 GB/s, BD/PAIR 122.953 GB/s, time 0.0043 s, comm_vol 2.097 GB
