CP_FILE_NAME: all2all_4
HOST: nico4
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 4
PROC_NUM: 4
NODE_NUM: 1
NTASK_PER_NODE: 4
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,0]]
MIXED_P2P_NUM: 256
2303: time 1.598801 s, REAL_BD 3.127344 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3303: time 1.577726 s, REAL_BD 3.169118 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0013: time 0.867348 s, REAL_BD 5.764699 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1013: time 0.866672 s, REAL_BD 5.769195 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2013: time 0.770343 s, REAL_BD 6.490615 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3013: time 0.867083 s, REAL_BD 5.766461 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0113: time 1.578837 s, REAL_BD 3.166888 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1113: time 1.528266 s, REAL_BD 3.271682 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2113: time 1.593087 s, REAL_BD 3.138561 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3113: time 1.525419 s, REAL_BD 3.277788 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0213: time 1.190801 s, REAL_BD 4.198854 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1213: time 1.187569 s, REAL_BD 4.210282 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2213: time 1.086200 s, REAL_BD 4.603204 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3213: time 1.182230 s, REAL_BD 4.229295 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0313: time 1.577211 s, REAL_BD 3.170153 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1313: time 1.529672 s, REAL_BD 3.268675 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2313: time 1.591661 s, REAL_BD 3.141372 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3313: time 1.530817 s, REAL_BD 3.266230 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0023: time 0.839557 s, REAL_BD 5.955522 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
