make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
SC1: 0.000514 s, REAL_BD 0.064939 GB/s, SIZE 0.000015 GB, comm_vol 0.000033 GB
SC1: 0.000540 s, REAL_BD 0.123624 GB/s, SIZE 0.000031 GB, comm_vol 0.000067 GB
SC1: 0.000585 s, REAL_BD 0.228230 GB/s, SIZE 0.000061 GB, comm_vol 0.000134 GB
SC1: 0.000662 s, REAL_BD 0.403367 GB/s, SIZE 0.000122 GB, comm_vol 0.000267 GB
SC1: 0.000861 s, REAL_BD 0.620276 GB/s, SIZE 0.000244 GB, comm_vol 0.000534 GB
SC1: 0.001223 s, REAL_BD 0.873357 GB/s, SIZE 0.000488 GB, comm_vol 0.001068 GB
SC1: 0.001884 s, REAL_BD 1.133880 GB/s, SIZE 0.000977 GB, comm_vol 0.002136 GB
SC1: 0.002512 s, REAL_BD 1.700820 GB/s, SIZE 0.001953 GB, comm_vol 0.004272 GB
SC1: 0.004313 s, REAL_BD 1.981201 GB/s, SIZE 0.003906 GB, comm_vol 0.008545 GB
SC1: 0.007841 s, REAL_BD 2.179549 GB/s, SIZE 0.007812 GB, comm_vol 0.017090 GB
SC1: 0.012113 s, REAL_BD 2.821736 GB/s, SIZE 0.015625 GB, comm_vol 0.034180 GB
SC1: 0.020539 s, REAL_BD 3.328272 GB/s, SIZE 0.031250 GB, comm_vol 0.068359 GB
SC1: 0.037061 s, REAL_BD 3.689019 GB/s, SIZE 0.062500 GB, comm_vol 0.136719 GB
SC1: 0.069591 s, REAL_BD 3.929208 GB/s, SIZE 0.125000 GB, comm_vol 0.273438 GB
SC1: 0.134638 s, REAL_BD 4.061818 GB/s, SIZE 0.250000 GB, comm_vol 0.546875 GB
SC1: 0.264676 s, REAL_BD 4.132411 GB/s, SIZE 0.500000 GB, comm_vol 1.093750 GB
SC1: 0.524620 s, REAL_BD 4.169685 GB/s, SIZE 1.000000 GB, comm_vol 2.187500 GB
SC1: 1.044787 s, REAL_BD 4.187456 GB/s, SIZE 2.000000 GB, comm_vol 4.375000 GB
